id	quote
19851117	Calvin and Hobbes November 18 It starts all over again!
19851118	So long Pop! I'm off to check my tiger trap! I rigged a tuna fish sandwich yesterday, so I'm sure to have a tiger by now! They like tuna fish, huh? Tigers will do anything for a tuna fish sandwich. We're kind of stupid that way.  Munch Munch
19851119	So Dad, what do I do when I catch a tiger? Bring it home and stuff it Calvin! Can't you see I'm busy? Sheesh. No, really, I couldn't eat another bite!
19851120	What's all this noise? You're supposed to be asleep! It was Hobbes, Dad! He was jumping on the bed! Honest! "Hobbes" was not jumping on the bed! Now go to sleep! You were too jumping on the bed! Well, you were the one playing the cymbals!!
19851121	Show and tell is over, Calvin. Please put your "tiger" in your locker. In my locker?! He'll suffocate! Well, at least put him under your chair. Whey! That was a close one! I'll say! Sever plus three. Seventy-three.
19851122	Good night, Calvin. 'night Dad! Hey! Aren't you going to say good night to Hobbes?! Good night, Hobbes. That's it?! No story? No smooch?? Go to sleep, you sissy.
19851123	What's this? Taste it. You'll love it. You know you'll hate something when they won't tell you what it is.
19851124	Outrage! Why should I go to bed? I'm not tired! It's only 7:30! This is tyranny! I'm ZZZZ Good night, Calvin. Will you check for monsters under the bed? No monsters. You're safe. What about the dresser? Calvin, I'm sure there are no monsters in your dresser. Go to sleep. Great. I'll bet that's where they all are. They'll come out and kill us as soon as we fall asleep. So who's going to fall asleep? Well, we'll just have to get the monsters first. You irritate them with this horn, and I'll nail 'em with my dart gun when they come out. Get ready! I hear one coming! What's all the noise?! AAIEEE!! A monster in the hallway!! Dear will you come up here a minute? I think I wounded him. Give me the bat and I'll finish him off!
19851125	Any monsters under my bed tonight!! Well there'd better not be! I'd hate to have to torch one with my flame thrower! You have a flame thrower?? They lie. I lie.
19851126	Mom, can I drive on the way back? Of course not, Calvin. Can I just steer then? I promise I won't crash. No, Calvin. Can I work the gas and brakes while you steer? No, Calvin. You never let me do anything.
19851127	Here we find a thriving city: brand new buildings, a bustling economy. A scenic thoroughfare winds through this happy municipality. Here, a farmer drives his livestock to market. Tragically, this serene metropolis lies directly beneath the Hoover dam...
19851128	This smells like bat barf! That does it, young man! You are excused to your room! Don't you think that's a little harsh, dear? He'll get hungry. Calvin has got to learn some manners! He won't starve to death. ...and extra pepperoni!
19851129	We'll see what the principal has to say about your attention span, young man! The valiant Spaceman Spiff has been captured! The aliens doubtlessly want the secret formula to the atomic napalm neutralizer! Moments from the torture chamber, Spiff springs into action! Why is he eating his hall pass?
19851130	Do you believe in fate? You mean, that our lives are predestined? Yeah ... that the things we do are inevitable. What a scary thought!
19851201	No! goodness, what was all that fuss? Oh, Calvin didn't want to take his bath. What a noisy kid! I'm doomed. I can't believe my own parents would do this to me! AH-HA! I've got you now, kid! AAUGH! Help! Quick! Momm! HA HA HA! Have a drink! Hellp! Gurgle blub. Calvin! Quiet down and quit splashing! I don't want to have to clean the whole bathroom. Ha! I pulled the plug! Down the drain with you! Die, fiend! Die, die!! Don't tell me he's letting out the water already! Believe it lady.
19851202	Bad news, dad. Your polls are way down. My polls? You rate especially low among tigers and six-year-old white males. If you want to stay "Dad" I'd suggest you adopt some key planks to your platform. Some special interest groups are in for a surprise. Of those polled, virtually all flavor increased allowances and the commencement of driving lessons. 
19851203	There's a new girl in our class. Well! What's her name? Who knows? Is she nice? Who cares? Not me! Do you like her?? No!
19851204	Here comes that new girl. Hey Susie Derkins, is that your face, or is a 'possum stuck in your collar? I hope you suffer a debilitating brain aneurysm, you freak! She's cute, isn't she?? Go away.
19851205	Hi Calvin. Mind if I join you for lunch? Yes. I have soup today. What do you have? A squid eyeball sandwich. You do not! Don't be disgusting. I like to suck out the retinas. Miss Wormwood! Care for a bite? Or were you leaving?
19851206	You can't come up here, Susie! No girls allowed. What on earth makes you think I'd want to sit up in a stupid tree in the first place?!? Leave it to a girl, to take all the fun out of sex discrimination.
19851207	Wheee! Houston, we have a negative on that orbit trajectory.
19851208	Our hero, the valiant Spaceman Spiff, is marooned on a strange world ... I'll set my Mertilizer on "deep fat fry." Calvin! You're not paying attention! ... we join Spaceman Spiff on the distant planet Zorg ... Gronk! Argh! Trapped by a hideous Graknil, Spiff draws his trusty atomic napalm neutralizer! Chew electric death snarling cur! But the weapon is useless! Spiff is doomed!! Our hero makes a break and ducks into a nearby cave! Weeoo! What's that awful smell? Eep! Who was that? Beats me, Fred.  
